title	abstract	authors	year	url	identifiers	publisher	keywords	oai	doi	journal_title	journal_identifiers	relevance
Security requirements engineering in the wild: A survey of common practices	Abstract—Various governmental or academic institutes survey current security trends, and report vulnerabilities, security breaches, and their costs. However, it is unclear whether (and how) practitioners analyze these vulnerabilities and attacks to arrive at security requirements and decide on security solutions. What modeling methods are used for eliciting, analyzing, and documenting security requirements in real-world practice? This paper intends to answer such questions through a survey of security requirements engineering practices. 374 software professionals from 237 International and Chinese rms participated in the survey. The results show businesses often try to consider security from early stages of the development life cycle; however, ultimately, security is left to be built into the system at the implementation phase. We observed that practitioners favour qualitative risk assessment rather than quantitative approaches, and this helps them consider more varieties of factors when comparing alternative security design solutions	Golnaz Elahi and Eric Yu and Tong Li and Lin Liu	2011	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.421.153	oai:oai:CiteSeerX.psu:10.1.1.421.153 oai:CiteSeerX.psu:10.1.1.421.153	IEEE						77%
www.ajocict.net Security Metrics Model for Web Page Vulnerability Classification and Ranking	Phone Number +2348037784613 Metrology, the science of measurement, is very important in the development of science and engineering principles if any meaningful progress will be made in these fields. This concept also applies to computer security if decision makers are to rely on judgment based on metrics. Management needs to establish how secured their organizations are, the amount of resources to allocate to various competing sectors, as well as the improvement gained by security expenditure over time. The Internet has revolutionized business transactions in the globalised world economy thereby exposing business transaction to even more danger. The extensive use of Information Technology (IT) in various processes has further increased the question of security implementations in organizations. The proliferation of various new ICT products and applications appear in the market daily via web applications. This resulted in several cases of Web security violations and privacy breaches as well as fraud. Computer Security has generated serious research area today since electronic transactions are becoming the standard. Security measurement has become extremely important as they are vital for assessing the security status of an organization. Metrics can educate enterprises to scale threats and vulnerabilities as well as the risks they pose to enterprise information systems. This paper examines security metrics available to information systems and proposes a metric model for web page vulnerability measurement and ranking. Keywords- Security Metrics, Threats And Vulnerabilities, Security Metric Classification and Ranking. 1	G. E. Okereke and C. C. Osuagwu	2014	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.411.2527	oai:oai:CiteSeerX.psu:10.1.1.411.2527 oai:CiteSeerX.psu:10.1.1.411.2527							76%
WEB SECURITY VULNERABILITY ASSESSMENT AND RECOVERY MACHANISAM	Nowadays web applications have critical logical holes (bug) affecting its security, Thus it makes application as vulnerable and easy to attack by hackers and organized crime. In order to prevent these security problems from occurrence of its maximum importance to understand the typical software faults. This paper contributes the knowledge of widely spread two critical web applications by presenting a field study on most of vulnerabilities like SQL Injection and XSS. By analyzing the security patches of source code which are widely used in web applications written in weak and strong typed languages. In order to understand the way in which these vulnerabilities are really exploited by hackers, and also provides an analysis of the source code of the scripts used to attack them. With the outcomes of this result and its study can be used to train code inspectors and software developers in the detection of such software faults, and also with that outcomes research for realistic vulnerability and attackers can be used to assess security mechanisms, like vulnerability scanners, intrusion detection systems, and static code analyzers. By using various number of software testing techniques tools various level of vulnerability are identified and recovery mechanisms were suggested	M. Madhusudhanan and M. Saravanan and D. Durai Kumar	2015	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.695.8221	oai:CiteSeerX.psu:10.1.1.695.8221 oai:oai:CiteSeerX.psu:10.1.1.695.8221		Internet Applications, Security, Languages, Review and evaluation					76%
Review of Information Security Vulnerability: Human Perspective	Information security is about confidentiality, integrity and availability of the data and due to complexity of human resources the information security has always been exposed to the internal threat by the users. This study is an attempt to address the human factors of information security vulnerability which may present as an inter-organizational threat and contribute in information security breach. Based on the study, lack of training, lack of team working skill, having no control on emotions, having different risk perceptions, improper attitudes, improper security culture, improper risk communication, hiring inexperienced staff and having demotivated staff are found to be the significant factors of information security vulnerability from the human &apos;s perspective	Malahat Pouransafar and Nurazean Maroop and Zuraini Ismail and Maral Cheperli	2016	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.824.3017	oai:CiteSeerX.psu:10.1.1.824.3017 oai:oai:CiteSeerX.psu:10.1.1.824.3017		security vulnerability, human factors, Security Behavior Human and Information					76%
Analyzing security requirements as relationships among strategic actors	Abstract. Security issues for software systems ultimately concern relationships among social actors – stakeholders, users, potential attackers, etc.-- and software acting on their behalf. In assessing vulnerabilities and mitigation measures, actors make strategic decisions to achieve desired levels of security while trading off competing requirements such as costs, performance, usability and so on. This paper explores the explicit modeling of relationships among strategic actors in order to elicit, identify and analyze security requirements. In particular, actor dependency analysis helps in the identification of attackers and their potential threats, while actor goal analysis helps to elicit the dynamic decision making process of system players for security issues. Patterns of relationships at various levels of abstraction (e.g. intentional dependencies among abstract roles) can be studied separately. These patterns can be selectively applied and combined for analyzing specific system configurations. The approach is particularly suitable for new Internet applications where layers of software entities and human roles interact to create complex security challenges. Examples from Peer-to-Peer computing are used to illustrate the proposed framework. 1	Lin Liu and Eric Yu and John Mylopoulos	2002	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.75.2836	oai:oai:CiteSeerX.psu:10.1.1.75.2836 oai:CiteSeerX.psu:10.1.1.75.2836							75%
Priority User Access for Social Network Security	Attacking the information of any institute that used social network may affect their business and can cause huge financial losses whose value is immeasurable. Social networking sites are the place where the users not only post their messages but also submit personal details. The weaken security of users’ accounts in social networking sites have led to various privacy issues and challenges in security issues. This study highlights types of the most known social network and their security points. In this study we proposed a new idea for social network security, which aim to give each user a full control of his information. It also controlled the types of information the user can access. A delegation rights given to each by proposing a priority to sign for each user according to the relationship intensity between the requester and respondent, also a certificate that consists of all the information needed to verify user authorization which will save from any risk	Suha Hameed and Zahraa Muhsen and Salwa Alsamarai	2013	https://core.ac.uk/display/28679179	oai:doaj.org/article:f2031d6ecc2840beb202eff1fbb0081d oai:oai:doaj.org/article:f2031d6ecc2840beb202eff1fbb0081d	Maxwell Science Publication	Access points, social network security, types of social network, user priority				issn:2041-3106, url:http://doaj.org/search?source=%7B%22query%22%3A%7B%22bool%22%3A%7B%22must%22%3A%5B%7B%22term%22%3A%7B%22id%22%3A%22f2031d6ecc2840beb202eff1fbb0081d%22%7D%7D%5D%7D%7D%7D, 2041-3114, issn:2041-3114, 2041-3106	75%
Trust based Security Service Mechanism for Client End Security using Attribute based Encryption at Cloud Platform	Internet and cloud application is getting faster day by day. It increases the data exchange rate over internet. During this heavy data transmission security is considered as major issues in communication. Encryption method used as a primary technique for providing the security to information systems. Among all the encryption techniques attribute based encryption (ABE) is getting popularity among the users. For secure data access the client must be sure about the process used for this type of encryption but in cloud platform everything is provided by cloud. Thus the satisfaction of security at user level is not provided by any cloud. Thus this work proposes a novel Client end trust based security service mechanism (TBSSM) using behaviour based encryption for achieving the better results. This work focuses on the application area of cloud storage platform for user satisfaction. This model gives a unique stack based solution for achieving the end user security. In this methodology the attribute can be identified from the user attribute table. This attribute table is dynamic in nature &amp; whose values are passed in the table after a pre calculation of trust &amp; user modelling	Balwant Prajapat and Surendra Vishwakarma	2014	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.402.7153	oai:oai:CiteSeerX.psu:10.1.1.402.7153 oai:CiteSeerX.psu:10.1.1.402.7153							75%
Web Vulnerability Detection and Security Mechanism	Web applications consist of several different andinteracting technologies. These interactions between differenttechnologies can cause vast security problems. As organizationsare taking their businesses online they make their systemsaccessible to the world. They might have a firewall in place andpossibly even their web server is running an up-to-date version ofits software but that is not enough to protect their resources.The research areas of this paper outline the major publiclyreported security vulnerability in recent year’s strong growth ofthe web applications. Unvalidated Input, Broken Access Control,Broken Authentication and Sessions Management, InsecureConfiguration Management, Improper Error Handling,Parameter Modification, Cookie Modification and DirectoryTraversal have been the most dominant class of webvulnerabilities. Further, the research includes methods fordetecting the vulnerabilities and then providing securitymechanism to protect web application from those vulnerabilities.The result shows the security mechanisms against the attacksand vulnerabilities. Securing the websites against thesevulnerabilities is very difficult and challenging task as day to daynew techniques for attacks are invented, so the study of varioustypes of vulnerabilities, detecting the attacks and providingsolution for these vulnerabilities is essential part in internetworld	Katkar Anjali S. and Kulkarni Raj B.	2012	https://core.ac.uk/display/28686845	oai:doaj.org/article:ceb8ab772f1240868a68f0ffd3b57ee9 oai:oai:doaj.org/article:ceb8ab772f1240868a68f0ffd3b57ee9	International Journal of Soft Computing & Engineering	Security, Vulnerability detection and Web applications.				2231-2307, url:http://doaj.org/search?source=%7B%22query%22%3A%7B%22bool%22%3A%7B%22must%22%3A%5B%7B%22term%22%3A%7B%22id%22%3A%22ceb8ab772f1240868a68f0ffd3b57ee9%22%7D%7D%5D%7D%7D%7D, issn:2231-2307	75%
Societal security - modes of interaction of different stakeholders	This article describes the modes of interaction of the different domains concerned with societal security (social and human science researcher, technology developer, security technology end-user, security policy-maker and civil society organizations) and identifies obstacles and barriers which could hinder a successful interaction and cooperation of these actors to enhance societal security. The final result is a set of recommendations how to overcome these barriers and obstacles and how to enhance knowledge sharing and cooperation between the different domains. For these analyses two types of data were used: a survey among the different stakeholders of societal security as well as literature research about knowledge sharing in general and experiences as well as lessons-learned from other sectors (e.g. health, multinational firms) regarding preconditions, processes and methods to improve common understanding and knowledge transfer	Grigoleit, Sonja and Schietke, Ruth and Burbiel, Joachim	2015	http://publica.fraunhofer.de/documents/N-356188.html	oai:oai:fraunhofer.de:N-356188 oai:fraunhofer.de:N-356188		interdisciplinary collaboration, knowledge sharing, knowledge transfer, modes of interaction, security research, societal security					75%
N.: Towards a structured unified process for software security	Security is often an afterthought when developing software, and is often bolted on late in development or even during deployment or maintenance, through activities such as pene-tration testing, add-on security software and penetrate-and-patch maintenance. We believe that security needs to be built in to the software from the beginning, and that security activities need to take place throughout the software lifecy-cle. Accomplishing this effectively and efficiently requires structured approach combining a detailed understanding on what causes vulnerabilities, and how specific activities com-bine to prevent them. In this paper we introduce key elements of the approach we are taking: vulnerability cause graphs, which encode in-formation about vulnerability causes, and security activity graphs, which encode information about security activities. We discuss how these can be applied to design software de-velopment processes (or changes to processes) that eliminate software vulnerabilities	Shanai Ardi and David Byers and Nahid Shahmehri	2006	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.628.9527	oai:oai:CiteSeerX.psu:10.1.1.628.9527 oai:CiteSeerX.psu:10.1.1.628.9527		ity					75%
